"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K01889","K01889",136,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
"KO:K03032","K03032",136,"PSMD1, RPN2; 26S proteasome regulatory subunit N2"
"KO:K01113","K01113",135,"phoD; alkaline phosphatase D [EC:3.1.3.1]"
"KO:K01188","K01188",135,"E3.2.1.21; beta-glucosidase [EC:3.2.1.21]"
"KO:K00111","K00111",134,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
"KO:K00257","K00257",134,"mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]"
"KO:K00311","K00311",134,"ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]"
"KO:K01951","K01951",134,"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
"KO:K10392","K10392",134,"KIF1; kinesin family member 1"
"KO:K11665","K11665",134,"INO80, INOC1; chromatin-remodeling ATPase INO80 [EC:5.6.2.-]"
"KO:K13953","K13953",134,"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
"KO:K01939","K01939",133,"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"
"KO:K05853","K05853",133,"ATP2A; P-type Ca2+ transporter type 2A [EC:7.2.2.10]"
"KO:K14558","K14558",133,"PWP2, UTP1; periodic tryptophan protein 2"
"KO:K19791","K19791",133,"FET3_5; iron transport multicopper oxidase"
"KO:K00297","K00297",132,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
"KO:K01937","K01937",132,"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
"KO:K03457","K03457",132,"TC.NCS1; nucleobase:cation symporter-1, NCS1 family"
"KO:K03934","K03934",132,"NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2]"
"KO:K04077","K04077",132,"groEL, HSPD1; chaperonin GroEL"
"KO:K15628","K15628",132,"PXA; ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein [EC:7.6.2.4]"
"KO:K00381","K00381",131,"cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]"
"KO:K01887","K01887",131,"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"
"KO:K07406","K07406",131,"melA; alpha-galactosidase [EC:3.2.1.22]"
"KO:K00101","K00101",130,"lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]"
"KO:K00826","K00826",130,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
"KO:K01958","K01958",130,"PC, pyc; pyruvate carboxylase [EC:6.4.1.1]"
"KO:K00966","K00966",129,"GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
"KO:K08333","K08333",129,"PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]"
"KO:K00627","K00627",128,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"KO:K00854","K00854",128,"xylB, XYLB; xylulokinase [EC:2.7.1.17]"
"KO:K05841","K05841",128,"E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173]"
"KO:K08675","K08675",128,"PRSS15, PIM1; ATP-dependent Lon protease [EC:3.4.21.53]"
"KO:K11367","K11367",128,"CHD1; chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-]"
"KO:K00670","K00670",127,"NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]"
"KO:K01207","K01207",127,"nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]"
"KO:K04799","K04799",127,"FEN1, RAD2; flap endonuclease-1 [EC:3.1.-.-]"
"KO:K15102","K15102",127,"SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3"
"KO:K01952","K01952",126,"PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
"KO:K00680","K00680",125,"ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]"
"KO:K04739","K04739",125,"PRKAR; cAMP-dependent protein kinase regulator"
"KO:K10597","K10597",125,"UBE4B, UFD2; ubiquitin conjugation factor E4 B [EC:2.3.2.27]"
"KO:K14327","K14327",125,"UPF2, RENT2; regulator of nonsense transcripts 2"
"KO:K14556","K14556",125,"DIP2, UTP12, WDR3; U3 small nucleolar RNA-associated protein 12"
"KO:K00234","K00234",124,"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
"KO:K00654","K00654",124,"SPT; serine palmitoyltransferase [EC:2.3.1.50]"
"KO:K02132","K02132",124,"ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha"
"KO:K03128","K03128",124,"TAF2; transcription initiation factor TFIID subunit 2"
"KO:K10798","K10798",124,"PARP2_3_4; poly [ADP-ribose] polymerase 2/3/4 [EC:2.4.2.30]"
"KO:K00850","K00850",123,"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
"KO:K03110","K03110",123,"ftsY; fused signal recognition particle receptor"
"KO:K03327","K03327",123,"TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family"
"KO:K05236","K05236",123,"COPA, RET1; coatomer subunit alpha"
"KO:K11808","K11808",123,"ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]"
"KO:K14640","K14640",123,"SLC20A, PIT; solute carrier family 20 (sodium-dependent phosphate transporter)"
"KO:K14855","K14855",123,"RSA4, NLE1; ribosome assembly protein 4"
"KO:K14950","K14950",123,"ATP13A1, SPF1; manganese-transporting P-type ATPase [EC:7.2.2.-]"
"KO:K05665","K05665",122,"ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]"
"KO:K11446","K11446",122,"KDM5, JARID1; [histone H3]-trimethyl-L-lysine4 demethylase [EC:1.14.11.67]"
"KO:K12837","K12837",122,"U2AF2; splicing factor U2AF 65 kDa subunit"
"KO:K14297","K14297",122,"NUP98, ADAR2, NUP116; nuclear pore complex protein Nup98-Nup96"
"KO:K00809","K00809",121,"DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]"
"KO:K01637","K01637",121,"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
"KO:K02350","K02350",121,"REV3L, POLZ; DNA polymerase zeta [EC:2.7.7.7]"
"KO:K02736","K02736",121,"PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]"
"KO:K03462","K03462",121,"NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]"
"KO:K12585","K12585",121,"DIS3, RRP44; exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]"
"KO:K00265","K00265",120,"gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]"
"KO:K14521","K14521",120,"NAT10, KRE33; N-acetyltransferase 10 [EC:2.3.1.-]"
"KO:K00106","K00106",119,"XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]"
"KO:K09580","K09580",119,"PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]"
"KO:K12852","K12852",119,"EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component"
"KO:K14290","K14290",119,"XPO1, CRM1; exportin-1"
"KO:K14310","K14310",119,"NUP205, NUP192; nuclear pore complex protein Nup205"
"KO:K15633","K15633",119,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
"KO:K01341","K01341",118,"KEX2; kexin [EC:3.4.21.61]"
"KO:K03380","K03380",118,"E1.14.13.7; phenol 2-monooxygenase (NADPH) [EC:1.14.13.7]"
"KO:K03671","K03671",118,"trxA; thioredoxin 1"
"KO:K08737","K08737",118,"MSH6; DNA mismatch repair protein MSH6"
"KO:K15109","K15109",118,"SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
"KO:K02212","K02212",117,"MCM4, CDC54; DNA replication licensing factor MCM4 [EC:5.6.2.3]"
"KO:K02332","K02332",117,"POLG; DNA polymerase gamma 1 [EC:2.7.7.7]"
"KO:K03935","K03935",117,"NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2]"
"KO:K04640","K04640",117,"GNA; guanine nucleotide-binding protein subunit alpha, other"
"KO:K06027","K06027",117,"NSF, SEC18; vesicle-fusing ATPase [EC:3.6.4.6]"
"KO:K10625","K10625",117,"UBR1; E3 ubiquitin-protein ligase UBR1 [EC:2.3.2.27]"
"KO:K12820","K12820",117,"DHX15, PRP43; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]"
"KO:K12821","K12821",117,"PRPF40, PRP40; pre-mRNA-processing factor 40"
"KO:K00306","K00306",116,"PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]"
"KO:K01867","K01867",116,"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
"KO:K01880","K01880",116,"GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]"
"KO:K03320","K03320",116,"amt, AMT, MEP; ammonium transporter, Amt family"
"KO:K05747","K05747",116,"WAS; Wiskott-Aldrich syndrome protein"
"KO:K11253","K11253",116,"H3; histone H3"
"KO:K00008","K00008",115,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"KO:K01535","K01535",115,"PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]"
"KO:K01620","K01620",115,"ltaE; threonine aldolase [EC:4.1.2.48]"
"KO:K01875","K01875",115,"SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]"
"KO:K03882","K03882",115,"ND4L; NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]"
"KO:K11238","K11238",115,"BNI1; cytokinesis protein"
"KO:K00088","K00088",114,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
"KO:K00134","K00134",114,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
"KO:K00688","K00688",114,"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
"KO:K02128","K02128",114,"ATPeF0C, ATP5G, ATP9; F-type H+-transporting ATPase subunit c"
"KO:K09553","K09553",114,"STIP1; stress-induced-phosphoprotein 1"
"KO:K10838","K10838",114,"XPC; xeroderma pigmentosum group C-complementing protein"
"KO:K11093","K11093",114,"SNRP70; U1 small nuclear ribonucleoprotein 70kDa"
"KO:K11292","K11292",114,"SUPT6H, SPT6; transcription elongation factor SPT6"
"KO:K11886","K11886",114,"ECM29; proteasome component ECM29"
"KO:K12373","K12373",114,"HEXA_B; hexosaminidase [EC:3.2.1.52]"
"KO:K14569","K14569",114,"BMS1; ribosome biogenesis protein BMS1"
"KO:K14571","K14571",114,"RIX7, NVL; ribosome biogenesis ATPase"
"KO:K14780","K14780",114,"DHX37, DHR1; ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13]"
"KO:K11904","K11904",113,"vgrG; type VI secretion system secreted protein VgrG"
"KO:K01046","K01046",112,"lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]"
"KO:K01178","K01178",112,"SGA1; glucoamylase [EC:3.2.1.3]"
"KO:K11273","K11273",112,"DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:3.6.4.13]"
"KO:K01209","K01209",111,"abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]"
"KO:K02542","K02542",111,"MCM6; DNA replication licensing factor MCM6 [EC:5.6.2.3]"
"KO:K06674","K06674",111,"SMC2; structural maintenance of chromosome 2"
"KO:K14536","K14536",111,"RIA1; ribosome assembly protein 1 [EC:3.6.5.-]"
"KO:K01176","K01176",110,"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
"KO:K03644","K03644",110,"lipA, LIAS, LIP1, LIP5; lipoyl synthase [EC:2.8.1.8]"
"KO:K07374","K07374",110,"TUBA; tubulin alpha"
"KO:K11644","K11644",110,"SIN3A; paired amphipathic helix protein Sin3a"
"KO:K12600","K12600",110,"SKI3, TTC37; superkiller protein 3"
"KO:K00323","K00323",109,"NNT; H+-translocating NAD(P) transhydrogenase [EC:1.6.1.2 7.1.1.1]"
"KO:K01251","K01251",109,"AHCY, ahcY; adenosylhomocysteinase [EC:3.13.2.1]"
"KO:K03321","K03321",109,"TC.SULP; sulfate permease, SulP family"
"KO:K12830","K12830",109,"SF3B3, SAP130, RSE1; splicing factor 3B subunit 3"
"KO:K16570","K16570",109,"TUBGCP3, GCP3; gamma-tubulin complex component 3"
"KO:K00143","K00143",108,"LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]"
"KO:K00560","K00560",108,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
"KO:K01907","K01907",108,"AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]"
"KO:K07119","K07119",108,"PTGR3, ZADH2; prostaglandin reductase 3 [EC:1.3.1.48]"
"KO:K07204","K07204",108,"RAPTOR; regulatory associated protein of mTOR"
"KO:K08827","K08827",108,"PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]"
"KO:K10356","K10356",108,"MYO1; myosin I"
"KO:K10750","K10750",108,"CHAF1A; chromatin assembly factor 1 subunit A"
"KO:K12813","K12813",108,"DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13]"
"KO:K14157","K14157",108,"AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]"
"KO:K00382","K00382",107,"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"KO:K01338","K01338",107,"lon; ATP-dependent Lon protease [EC:3.4.21.53]"
"KO:K01581","K01581",107,"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
"KO:K01883","K01883",107,"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"
"KO:K01893","K01893",107,"NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]"
"KO:K13181","K13181",107,"DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]"
"KO:K14575","K14575",107,"AFG2, DRG1, SPATA5; AAA family ATPase"
"KO:K01066","K01066",106,"aes; acetyl esterase [EC:3.1.1.-]"
"KO:K01104","K01104",106,"E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]"
"KO:K02154","K02154",106,"ATPeV0A, ATP6N; V-type H+-transporting ATPase subunit a"
"KO:K04345","K04345",106,"PKA; protein kinase A [EC:2.7.11.11]"
"KO:K07874","K07874",106,"RAB1A; Ras-related protein Rab-1A"
"KO:K07889","K07889",106,"RAB5C; Ras-related protein Rab-5C"
"KO:K11433","K11433",106,"SETMAR; [histone H3]-lysine36 N-dimethyltransferase SETMAR [EC:2.1.1.357]"
"KO:K00135","K00135",105,"gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"
"KO:K00326","K00326",105,"E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]"
"KO:K01568","K01568",105,"PDC, pdc; pyruvate decarboxylase [EC:4.1.1.1]"
"KO:K01619","K01619",105,"deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]"
"KO:K01953","K01953",105,"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
"KO:K03028","K03028",105,"PSMD2, RPN1; 26S proteasome regulatory subunit N1"
"KO:K13025","K13025",105,"EIF4A3, FAL1; ATP-dependent RNA helicase [EC:3.6.4.13]"
"KO:K13501","K13501",105,"TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]"
"KO:K14832","K14832",105,"MAK21, NOC1, CEBPZ; ribosome biogenesis protein MAK21"
"KO:K00102","K00102",104,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
"KO:K01130","K01130",104,"E3.1.6.1; arylsulfatase [EC:3.1.6.1]"
"KO:K01640","K01640",104,"HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]"
"KO:K01950","K01950",104,"E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"
"KO:K03885","K03885",104,"ndh; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]"
"KO:K09499","K09499",104,"CCT7; T-complex protein 1 subunit eta"
"KO:K10754","K10754",104,"RFC1; replication factor C subunit 1"
"KO:K12767","K12767",104,"RIM15; serine/threonine-protein kinase RIM15 [EC:2.7.11.1]"
"KO:K03130","K03130",103,"TAF5; transcription initiation factor TFIID subunit 5"
"KO:K11121","K11121",103,"SIR2; NAD+-dependent protein deacetylase SIR2 [EC:2.3.1.286]"
"KO:K11592","K11592",103,"DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]"
"KO:K14684","K14684",103,"SLC25A23S; solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41"
"KO:K00958","K00958",101,"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"
"KO:K02925","K02925",101,"RP-L3e, RPL3; large subunit ribosomal protein L3e"
"KO:K03469","K03469",101,"rnhA, RNASEH1; ribonuclease HI [EC:3.1.26.4]"
"KO:K06672","K06672",101,"SCC2, NIPBL; cohesin loading factor subunit SCC2"
"KO:K06972","K06972",101,"PITRM1, PreP, CYM1; presequence protease [EC:3.4.24.-]"
"KO:K09495","K09495",101,"CCT3, TRIC5; T-complex protein 1 subunit gamma"
"KO:K13726","K13726",101,"MEPB; metallopeptidase MepB [EC:3.4.24.-]"
"KO:K14824","K14824",101,"ERB1, BOP1; ribosome biogenesis protein ERB1"
"KO:K17301","K17301",101,"COPB1, SEC26; coatomer subunit beta"
"KO:K17550","K17550",101,"PPP1R7, SDS22; protein phosphatase 1 regulatory subunit 7"
"KO:K00021","K00021",100,"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"
"KO:K00615","K00615",100,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
"KO:K01956","K01956",100,"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"
"KO:K06158","K06158",100,"ABCF3; ATP-binding cassette, subfamily F, member 3"
"KO:K13126","K13126",100,"PABPC; polyadenylate-binding protein"
"KO:K17679","K17679",100,"MSS116; ATP-dependent RNA helicase MSS116, mitochondrial [EC:3.6.4.13]"
"KO:K00327","K00327",99,"POR; NADPH-ferrihemoprotein reductase [EC:1.6.2.4]"
"KO:K01930","K01930",99,"FPGS; folylpolyglutamate synthase [EC:6.3.2.17]"
"KO:K03165","K03165",99,"TOP3; DNA topoisomerase III [EC:5.6.2.1]"
"KO:K03348","K03348",99,"APC1, ANAPC1; anaphase-promoting complex subunit 1"
"KO:K03832","K03832",99,"tonB; periplasmic protein TonB"
"KO:K03842","K03842",99,"ALG1; beta-1,4-mannosyltransferase [EC:2.4.1.142]"
"KO:K17906","K17906",99,"ATG2; autophagy-related protein 2"
"KO:K00294","K00294",98,"E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]"
"KO:K01101","K01101",98,"E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]"
"KO:K01649","K01649",98,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
"KO:K03252","K03252",98,"EIF3C; translation initiation factor 3 subunit C"
"KO:K06694","K06694",98,"PSMD10; 26S proteasome non-ATPase regulatory subunit 10"
"KO:K07359","K07359",98,"CAMKK2; calcium/calmodulin-dependent protein kinase kinase 2 [EC:2.7.11.17]"
"KO:K08735","K08735",98,"MSH2; DNA mismatch repair protein MSH2"
"KO:K11838","K11838",98,"USP7, UBP15; ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]"
"KO:K12735","K12735",98,"PPIL4; peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8]"
"KO:K18443","K18443",98,"GBF1; golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1"
"KO:K00784","K00784",97,"rnz; ribonuclease Z [EC:3.1.26.11]"
"KO:K01580","K01580",97,"E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]"
"KO:K01638","K01638",97,"aceB, glcB; malate synthase [EC:2.3.3.9]"
"KO:K01702","K01702",97,"LEU1; 3-isopropylmalate dehydratase [EC:4.2.1.33]"
"KO:K01968","K01968",97,"E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]"
"KO:K02133","K02133",97,"ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]"
"KO:K08838","K08838",97,"STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]"
"KO:K10981","K10981",97,"POL4; DNA polymerase IV [EC:2.7.7.7]"
"KO:K01273","K01273",96,"DPEP; membrane dipeptidase [EC:3.4.13.19]"
"KO:K05546","K05546",96,"GANAB; mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]"
"KO:K08158","K08158",96,"MDR1, FLR1, CAF5; MFS transporter, DHA1 family, multidrug resistance protein"
"KO:K10841","K10841",96,"ERCC6, CSB, RAD26; DNA excision repair protein ERCC-6"
"KO:K11855","K11855",96,"USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]"
"KO:K12659","K12659",96,"ARG56; N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]"
"KO:K14309","K14309",96,"NUP93, NIC96; nuclear pore complex protein Nup93"
"KO:K14857","K14857",96,"SPB1, FTSJ3; AdoMet-dependent rRNA methyltransferase SPB1 [EC:2.1.1.-]"
"KO:K00505","K00505",95,"TYR; tyrosinase [EC:1.14.18.1]"
"KO:K01298","K01298",95,"CPA2; carboxypeptidase A2 [EC:3.4.17.15]"
"KO:K01657","K01657",95,"trpE; anthranilate synthase component I [EC:4.1.3.27]"
"KO:K01923","K01923",95,"purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]"
"KO:K02541","K02541",95,"MCM3; DNA replication licensing factor MCM3 [EC:5.6.2.3]"
"KO:K09252","K09252",95,"FAEB; feruloyl esterase [EC:3.1.1.73]"
"KO:K11361","K11361",95,"SPT20, ADA5; transcription factor SPT20"
"KO:K12823","K12823",95,"DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]"
"KO:K12874","K12874",95,"AQR; intron-binding protein aquarius"
"KO:K15505","K15505",95,"RAD5; DNA repair protein RAD5 [EC:5.6.2.-]"
"KO:K01438","K01438",94,"argE; acetylornithine deacetylase [EC:3.5.1.16]"
"KO:K01556","K01556",94,"KYNU, kynU; kynureninase [EC:3.7.1.3]"
"KO:K07739","K07739",94,"ELP3, KAT9; elongator complex protein 3 (tRNA uridine(34) acetyltransferase) [EC:2.3.1.-]"
"KO:K10843","K10843",94,"ERCC3, XPB; DNA excision repair protein ERCC-3 [EC:5.6.2.4]"
"KO:K10844","K10844",94,"ERCC2, XPD; DNA excision repair protein ERCC-2 [EC:5.6.2.3]"
"KO:K15710","K15710",94,"SHPRH; E3 ubiquitin-protein ligase SHPRH [EC:5.6.2.- 2.3.2.27]"
"KO:K00380","K00380",93,"cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]"
"KO:K02210","K02210",93,"MCM7, CDC47; DNA replication licensing factor MCM7 [EC:5.6.2.3]"
"KO:K03456","K03456",93,"PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A"
"KO:K03686","K03686",93,"dnaJ; molecular chaperone DnaJ"
"KO:K03884","K03884",93,"ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]"
"KO:K05663","K05663",93,"NA"
"KO:K06185","K06185",93,"ABCF2; ATP-binding cassette, subfamily F, member 2"
"KO:K06944","K06944",93,"DRG, RBG; developmentally-regulated GTP-binding protein [EC:3.6.5.-]"
"KO:K06978","K06978",93,"K06978; uncharacterized protein"
"KO:K07297","K07297",93,"ADIPOR; adiponectin receptor"
"KO:K08157","K08157",93,"TPO1; MFS transporter, DHA1 family, multidrug resistance protein"
"KO:K10591","K10591",93,"NEDD4, RSP5; E3 ubiquitin-protein ligase NEDD4 [EC:2.3.2.26]"
"KO:K11267","K11267",93,"PDS5; sister chromatid cohesion protein PDS5"
"KO:K12391","K12391",93,"AP1G1; AP-1 complex subunit gamma-1"
"KO:K14708","K14708",93,"SLC26A11; solute carrier family 26 (sodium-independent sulfate anion transporter), member 11"
"KO:K00820","K00820",92,"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"
"KO:K01392","K01392",92,"THOP1; thimet oligopeptidase [EC:3.4.24.15]"
"KO:K01850","K01850",92,"E5.4.99.5; chorismate mutase [EC:5.4.99.5]"
"KO:K01895","K01895",92,"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
"KO:K02540","K02540",92,"MCM2; DNA replication licensing factor MCM2 [EC:5.6.2.3]"
"KO:K03265","K03265",92,"ETF1, ERF1; peptide chain release factor subunit 1"
"KO:K06877","K06877",92,"K06877; DEAD/DEAH box helicase domain-containing protein"
"KO:K07513","K07513",92,"ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]"
"KO:K14856","K14856",92,"SDA1, SDAD1; protein SDA1"
"KO:K15176","K15176",92,"CTR9; RNA polymerase-associated protein CTR9"
"KO:K17086","K17086",92,"TM9SF2_4; transmembrane 9 superfamily member 2/4"
"KO:K17267","K17267",92,"COPG; coatomer subunit gamma"
"KO:K00293","K00293",91,"LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
"KO:K03099","K03099",91,"SOS; son of sevenless"
"KO:K05285","K05285",91,"PIGN; GPI ethanolamine phosphate transferase 1 [EC:2.7.-.-]"
"KO:K11230","K11230",91,"SSK2; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]"
"KO:K11718","K11718",91,"HUGT; UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-]"
"KO:K12385","K12385",91,"NPC1; Niemann-Pick C1 protein"
"KO:K12855","K12855",91,"PRPF6, PRP6; pre-mRNA-processing factor 6"
"KO:K13123","K13123",91,"GPATCH1; G patch domain-containing protein 1"
"KO:K00500","K00500",90,"phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]"
"KO:K00914","K00914",90,"PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]"
